cycle,rOM,dOM,sOM
16,325.3,45.68,79.61
16,512.2,258.87,582.255
17,39.7,9.07,23.93
17,322.7,42.89,83.91
17,451.0999999999999,273.53999999999996,611.015
18,37.1,8.219999999999999,26.54
18,313.6,43.29,89.705
18,383.50000000000006,300.41999999999996,638.2900000000001
19,34.5,7.22,29.3
19,303.2,44.69,95.765
19,332.79999999999995,308.80999999999995,663.1300000000001
20,31.9,6.220000000000001,32.06
20,292.8,46.09,101.825
20,276.90000000000003,318.58000000000004,689.7850000000001
21,29.3,5.22,34.82
21,282.4,47.489999999999995,107.885
21,241.8,312.63000000000005,716.3349999999997
22,26.7,4.22,37.58
22,272.0,48.89,113.945
22,215.79999999999998,293.0899999999999,740.935
23,24.1,4.96,38.69
23,261.6,53.77,116.705
23,187.20000000000002,286.02,756.2349999999997
24,21.5,5.76,39.65
24,251.2,58.77,119.165
24,153.4,288.88999999999993,766.285
25,18.9,6.56,40.61
25,243.4,61.17,121.625
25,135.2,279.39,775.385
26,16.3,7.36,41.57
26,234.3,63.22,125.35
26,118.30000000000001,264.34,785.53
27,13.7,8.16,42.53
27,223.9,66.42,129.19
27,96.2,255.18,795.0400000000001
28,11.1,8.96,43.49
28,216.1,69.62,133.03
28,78.0,248.26000000000002,801.1000000000003
29,8.5,9.76,44.45
29,210.9,66.12,138.02
29,62.4,234.36999999999998,808.0749999999999
30,5.9,10.56,45.41
30,200.5,67.52,143.24
30,39.0,236.48000000000002,811.9660000000001
31,3.3,11.36,46.370000000000005
31,190.1,69.37,148.01
31,39.0,211.73000000000005,814.4560000000005
32,2.0,10.86,47.33
32,181.0,71.27000000000001,151.43
32,39.0,188.90000000000003,815.1459999999998
33,2.0,9.06,48.29
33,171.9,71.88,155.85000000000002
33,39.0,167.30000000000004,814.4860000000001
34,2.0,7.26,49.25
34,161.5,75.2,158.85
34,39.0,148.46,811.2760000000006
35,2.0,5.46,50.21
35,151.1,78.4,161.85
35,39.0,132.56,805.0629999999999
36,2.0,3.66,51.17
36,140.7,81.6,164.85
36,39.0,119.93,796.393
37,2.0,1.86,52.129999999999995
37,134.2,79.61,168.85
37,39.0,109.09999999999998,786.5389999999994
38,2.0,0.06,53.09
38,123.8,81.16,173.07999999999998
38,39.0,98.3,776.7589999999998
39,2.0,0.0,52.4
39,113.4,84.29999999999998,175.81
39,39.0,87.94999999999999,766.5289999999998
40,2.0,0.0,51.56
40,103.0,87.5,178.39
40,39.0,78.95,754.9489999999997
41,2.0,0.0,50.72
41,92.6,90.7,180.97
41,39.0,69.95000000000002,743.369
42,2.0,0.0,49.879999999999995
42,82.2,93.89999999999999,183.55
